x1,y1,x2,y2
127.6222,3065.008,175.3889,2906.428
227.1114,2783.938,303.7409,2659.443
303.334,2805.218,368.927,2682.487
414.2451,2914.334,456.8532,2788.233
414.2451,2914.334,456.8532,2788.233
419.0995,2921.34,460.9264,2794.99
440.644,2964.239,475.755,2836.044
464.8285,2967.753,497.8161,2840.007
478.0107,2988.985,508.5041,2860.644
487.7008,2969.817,519.1833,2843.51
508.0497,1602.282,806.0692,1582.01
547.0232,2842.764,589.0777,2730.275
547.0232,2842.764,589.0777,2730.275
723.0328,1054.147,1019.836,1048.359
770.8675,396.4374,1140.966,501.4539
798.6145,457.2918,1660.405,499.9471
807.9534,3452.646,717.6619,3293.873
846.638,460.882,1537.039,416.6154
846.638,460.882,1195.974,576.2786
870.7976,476.8492,1180.474,457.6263
870.7976,476.8492,1832.502,852.0965
943.207,2860.076,875.139,2748.132
999.336,3442.013,894.8238,3297.672
1004.876,2711.366,945.0073,2611.566
1021.158,1423.947,1275.548,1412.614
1021.158,1423.947,1275.548,1412.614
1027.573,485.4542,2233.699,278.8502
1027.874,1416.573,1282.271,1405.736
1034.028,42.03407,1477.375,435.8893
1038.481,677.8339,1552.281,520.9318
1047.015,9.637737,1333.028,10.73021
1068.981,2765.069,1091.459,2684.951
1072.961,452.1842,1371.046,478.1421
1075.067,403.6624,1757.915,183.8441
1102.549,704.9624,1452.455,405.0738
1103.033,699.6188,1331.84,51.99189
1103.033,699.6188,1774.746,665.8206
1118.936,228.5403,1231.43,596.9993
1122.006,540.9632,1436.528,115.6296
1135.906,2658.59,1172.184,2588.946
1138.658,1004.423,1396.699,995.2221
1144.44,2643.355,1182.972,2574.766
1144.964,769.215,1296.081,59.2583
1155.426,3173.667,1083.739,3062.399
1182.475,2653.157,1217.185,2585.948
1188.051,619.423,1534.873,465.1992
1192.292,990.0461,1450.841,981.0999
1192.292,990.0461,1450.841,981.0999
1204.014,2738.967,1224.004,2667.592
1204.014,2738.967,1224.004,2667.592
1225.72,373.8646,1420.633,114.6007
1230.832,2668.339,1260.999,2602.676
1239.457,609.3246,1704.646,414.9921
1255.959,835.5688,1517.921,827.7696
1258.433,357.3803,1820.006,355.0012
1258.433,357.3803,1820.006,355.0012
1261.712,937.2706,1517.376,930.4422
1286.359,499.4798,1638.546,555.9229
1288.212,495.7708,1519.512,415.9335
1290.49,523.7111,1202.207,552.3704
1304.73,246.4601,1576.112,243.1736
1310.053,1311.552,1513.622,735.3154
1320.058,1270.017,1928.581,477.148
1335.014,163.3801,2302.18,470.9627
1337.521,268.3269,1519.512,415.9335
1358.601,252.8059,2290.63,503.1567
1368.358,292.145,1637.664,287.0647
1376.38,340.0682,1645.61,334.0463
1384.457,559.8311,1330.418,713.8433
1393.526,992.8745,1649.911,986.3621
1400.373,413.1483,1666.893,406.98
1400.373,413.1483,1666.893,406.98
1424.761,29.94262,1700.796,21.60333
1426.743,48.74537,1702.388,40.29902
1426.743,48.74537,1702.388,40.29902
1427.381,470.0705,1694.86,460.0781
1487.908,627.4848,1816.479,460.5271
1506.584,2623.507,1529.084,2572.991
1541.102,505.692,1886.409,362.0853
1550.141,455.1732,1534.873,465.1992
1561.882,647.5182,1038.416,323.6579
1561.882,647.5182,1821.708,641.9733
1671.403,867.2582,1930.747,853.1268
1676.932,456.6282,1429.835,127.4516
1681.131,317.3221,1260.015,670.1033
1681.131,317.3221,1260.015,670.1033
1683.856,779.7361,1392.039,173.0314
1698.159,68.03172,2061.877,89.35358
1736.929,735.1035,1389.942,190.3274
1760.425,702.6945,1928.478,212.6433
1785.952,123.3663,1956.987,462.503
1785.952,123.3663,1956.987,462.503
1829.313,2298.417,1935.891,2281.456
1847.851,742.2227,1828.365,100.5209
1859.139,843.5511,2120.232,832.7754
1859.139,843.5511,2120.232,832.7754
1865.647,229.6427,2051.872,754.0308
1915.514,808.5557,2033.506,236.5596
1915.514,808.5557,2033.506,236.5596
1947.059,648.3293,2214.04,631.3342
1991.399,713.4634,1090.367,427.1726
1991.399,713.4634,1090.367,427.1726
1996.948,520.756,1401.855,346.5331
2005.922,595.6266,2277.07,576.6281
2005.922,595.6266,2277.07,576.6281
2020.363,534.5156,2101.427,95.06431
2035.117,575.5927,2307.799,555.7017
2056.43,523.7522,2295.961,521.5495
2209.962,722.4184,2512.97,701.4809
2226.903,554.0224,1108.538,584.136
2274.917,451.9393,2886.856,789.8214
2274.917,451.9393,2886.856,789.8214
2417.005,278.8154,2681.833,712.4894
